Id. de la fila,Id. del pedido,Fecha del pedido,Fecha de envío,Método de envío,Id. del cliente,Nombre del cliente,Segmento,Ciudad,Provincia/Estado/Departamento,País/Región,Región,Id. del producto,Categoría,Subcategoría,Nombre del producto,Ventas,Cantidad,Descuento,Ganancia,
1682,MX-2022-111899,02/04/22,06/04/22,Estándar,AM-11365,Araceli Manzanares,Empresa,Cruzeiro do Sul,Acre,Brasil,Sur,MAT-AR-10004857,Material de oficina,Arte,"Boston Rotuladores, Tamaños variados",591,3,0,206.4,
5919,MX-2022-113922,08/10/22,11/10/22,Rápido,BS-12130,Benjamín Saavedra,Cliente,Rio Branco,Acre,Brasil,Sur,MOB-LI-10000647,Mobiliario,Librerías,"Dania Conjunto de estantes, Metal",2250.8,2,0,922.8,
5920,MX-2022-113922,08/10/22,11/10/22,Rápido,BS-12130,Benjamín Saavedra,Cliente,Rio Branco,Acre,Brasil,Sur,MAT-CA-10002956,Material de oficina,Carpetas,"Avery Anillas, Transparente",129,5,0,11,
9013,MX-2020-163888,14/06/20,18/06/20,Estándar,AT-10090,Alejandro Trejo,Cliente,Rio Branco,Acre,Brasil,Sur,MOB-MO-10002100,Mobiliario,Mobiliario,"Tenex Bandeja apiladora, Negro",504.6,3,0,95.4,
9014,MX-2020-163888,14/06/20,18/06/20,Estándar,AT-10090,Alejandro Trejo,Cliente,Rio Branco,Acre,Brasil,Sur,MOB-LI-10002747,Mobiliario,Librerías,"Safco Vitrina, Convencional",3376.8,3,0,641.4,
9406,MX-2019-109029,20/07/19,22/07/19,Urgente,AJ-10840,Amador Jasón,Cliente,Cruzeiro do Sul,Acre,Brasil,Sur,MAT-CA-10003527,Material de oficina,Carpetas,"Avery Cubierta de carpeta, Duradero",167.6,2,0,62,
603,MX-2022-103002,16/05/22,18/05/22,Urgente,LG-17920,Leonor Gómez,Cliente,Penedo,Alagoas,Brasil,Sur,MAT-AL-10002433,Material de oficina,Almacenamiento,"Fellowes Archivador móvil, Industrial",1837.2,2,0,753.2,
809,MX-2021-133459,05/09/21,09/09/21,Estándar,CV-12475,Cristina Vergara,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-SO-10003712,Material de oficina,Sobres,"Cameo Sobre de tipo Manila, 50",540,3,0,37.8,
3315,MX-2019-141726,11/11/19,16/11/19,Rápido,EC-14410,Eusebio Cano,Pequeña empresa,Maceió,Alagoas,Brasil,Sur,MOB-SI-10000143,Mobiliario,Sillas,"Harbour Creations Silla plegable, Negro",3182,5,0,159,
3474,MX-2021-130911,05/10/21,07/10/21,Rápido,HS-15655,Héctor Salcido,Empresa,Arapiraca,Alagoas,Brasil,Sur,MOB-SI-10004179,Mobiliario,Sillas,"Office Star Silla de playa, Negro",706.8,2,0,42.4,
3499,MX-2021-166443,21/08/21,25/08/21,Estándar,WV-21820,Wendi Valdés,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-PA-10000990,Material de oficina,Papel,"Green Bar Cuaderno, Multicolor",1248,6,0,261.6,
3500,MX-2021-166443,21/08/21,25/08/21,Estándar,WV-21820,Wendi Valdés,Cliente,Maceió,Alagoas,Brasil,Sur,TEC-MÁ-10004980,Tecnología,Máquinas,"Panasonic Impresora, Rojo",7030.4,4,0,3515.2,
3501,MX-2021-166443,21/08/21,25/08/21,Estándar,WV-21820,Wendi Valdés,Cliente,Maceió,Alagoas,Brasil,Sur,MOB-SI-10004179,Mobiliario,Sillas,"Office Star Silla de playa, Negro",1060.2,3,0,63.6,
4101,MX-2020-113201,14/09/20,18/09/20,Estándar,IC-16405,Iris Casares,Pequeña empresa,Arapiraca,Alagoas,Brasil,Sur,MAT-SU-10003821,Material de oficina,Suministros,"Acme Regla, Azul",334.2,3,0,39.6,
4102,MX-2020-113201,14/09/20,18/09/20,Estándar,IC-16405,Iris Casares,Pequeña empresa,Arapiraca,Alagoas,Brasil,Sur,MAT-CA-10000917,Material de oficina,Carpetas,"Avery Separadores, Económico",126.6,3,0,7.2,
4103,MX-2020-113201,14/09/20,18/09/20,Estándar,IC-16405,Iris Casares,Pequeña empresa,Arapiraca,Alagoas,Brasil,Sur,MAT-AL-10003968,Material de oficina,Almacenamiento,"Rogers Bandejas, Tamaño completo",822.8,2,0,164.4,
5321,MX-2020-117870,04/10/20,09/10/20,Estándar,TA-21175,Teodora Atencio,Empresa,Penedo,Alagoas,Brasil,Sur,MAT-CA-10002885,Material de oficina,Carpetas,"Cardinal Cubierta de carpeta, Económico",160,2,0,25.6,
6481,MX-2022-148684,19/12/22,25/12/22,Estándar,AR-10525,Amalia Ríos,Empresa,Maceió,Alagoas,Brasil,Sur,MAT-AL-10004135,Material de oficina,Almacenamiento,"Tenex Archivador móvil, Tamaño completo",2683.2,3,0,885,
6482,MX-2022-148684,19/12/22,25/12/22,Estándar,AR-10525,Amalia Ríos,Empresa,Maceió,Alagoas,Brasil,Sur,MAT-SO-10001206,Material de oficina,Sobres,"Cameo Sobre empresarial, Reciclado",105,1,0,50.4,
8062,MX-2022-113586,18/11/22,18/11/22,Mismo día,FF-14890,Fidel Ferrer,Empresa,Maceió,Alagoas,Brasil,Sur,MAT-SO-10000209,Material de oficina,Sobres,"GlobeWeis Paquetes, 50",514,2,0,133.6,
8063,MX-2022-113586,18/11/22,18/11/22,Mismo día,FF-14890,Fidel Ferrer,Empresa,Maceió,Alagoas,Brasil,Sur,MOB-LI-10000384,Mobiliario,Librerías,"Dania Librería clásica, Blanco",5510.4,2,0,991.6,
8064,MX-2022-113586,18/11/22,18/11/22,Mismo día,FF-14890,Fidel Ferrer,Empresa,Maceió,Alagoas,Brasil,Sur,MOB-MO-10000586,Mobiliario,Mobiliario,"Eldon Tope para puertas, Negro",2006.4,6,0,621.6,
8065,MX-2022-113586,18/11/22,18/11/22,Mismo día,FF-14890,Fidel Ferrer,Empresa,Maceió,Alagoas,Brasil,Sur,MOB-ME-10001571,Mobiliario,Mesas,"Bevis Mesa de formación, Montada",3588.8,2,0.2,493.2,
8066,MX-2022-113586,18/11/22,18/11/22,Mismo día,FF-14890,Fidel Ferrer,Empresa,Maceió,Alagoas,Brasil,Sur,TEC-TE-10002678,Tecnología,Teléfonos,"Apple Base de audio, Tamaño completo",4484.8,4,0,492.8,
8837,MX-2021-164938,18/04/21,23/04/21,Rápido,NM-19390,Nidia Mena,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-AR-10000761,Material de oficina,Arte,"Boston Bolígrafos, Metal",412.8,4,0,156.8,
8838,MX-2021-164938,18/04/21,23/04/21,Rápido,NM-19390,Nidia Mena,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-PA-10001204,Material de oficina,Papel,"Green Bar Agenda, Multicolor",504,3,0,55.2,
8839,MX-2021-164938,18/04/21,23/04/21,Rápido,NM-19390,Nidia Mena,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-SU-10003322,Material de oficina,Suministros,"Elite Tijeras, Rectangular",512.8,4,0,164,
9477,MX-2021-160444,07/11/21,12/11/21,Estándar,VC-21490,Valeria Caldera,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-SO-10002955,Material de oficina,Sobres,"Kraft Cierre adhesivo, Rojo",320.4,2,0,108.8,
10026,US-2022-154564,04/07/22,07/07/22,Rápido,RC-20440,Reinaldo Córdova,Empresa,Pilar,Alagoas,Brasil,Sur,MOB-ME-10003347,Mobiliario,Mesas,"Chromcraft Mesa de café, Rectangular",2117.28,3,0.6,-529.32,
10027,US-2022-154564,04/07/22,07/07/22,Rápido,RC-20440,Reinaldo Córdova,Empresa,Pilar,Alagoas,Brasil,Sur,MOB-LI-10000283,Mobiliario,Librerías,"Ikea Librería, Blanco",1334.4,4,0.6,-934.4,
10028,US-2022-154564,04/07/22,07/07/22,Rápido,RC-20440,Reinaldo Córdova,Empresa,Pilar,Alagoas,Brasil,Sur,MAT-GR-10001628,Material de oficina,Grapas,"Advantus Cintas de goma, Paquete de 12",170.88,4,0.6,-252.32,
10029,US-2022-101623,09/12/22,11/12/22,Rápido,AV-10825,Amelia Vega,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-SU-10000055,Material de oficina,Suministros,"Fiskars Recortadora, Rectangular",312,3,0.6,-226.2,
10055,US-2019-149041,01/06/19,06/06/19,Estándar,NP-19210,Natalia Paredes,Empresa,Pilar,Alagoas,Brasil,Sur,MAT-PA-10004251,Material de oficina,Papel,"Eaton Papel de tipo pergamino, Premium",71.84,2,0.6,-50.56,
10056,US-2019-149041,01/06/19,06/06/19,Estándar,NP-19210,Natalia Paredes,Empresa,Pilar,Alagoas,Brasil,Sur,TEC-CO-10000319,Tecnología,Copiadoras,"Hewlett Fotocopiadora con fax, Rojo",2534.862,5,0.602,-1160.138,
10090,US-2021-139297,05/12/21,10/12/21,Estándar,BF-12040,Bibiana Ferro,Pequeña empresa,Pilar,Alagoas,Brasil,Sur,MAT-GR-10000238,Material de oficina,Grapas,"Stockwell Pasadores, Tamaños variados",157.6,5,0.6,-185.4,
10104,US-2022-162999,25/02/22,02/03/22,Estándar,TC-21085,Tina Cardona,Cliente,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-GR-10004152,Material de oficina,Grapas,"Stockwell Grapas, Al por mayor",138.8,5,0.6,-125.2,
10118,US-2019-136007,04/01/19,11/01/19,Estándar,AH-11305,Ariadna Hernández,Pequeña empresa,Pilar,Alagoas,Brasil,Sur,MAT-SO-10002386,Material de oficina,Sobres,"Jiffy Sobres de uso interno, 50",743.04,6,0.6,-1078.56,
